Model,Language,Input format,Output format,Shuffle method,Sample_Count
gemini-2.0-flash,en,base,base,default,1700
gemini-2.0-flash,en,base,base,longest-first,1700
gemini-2.0-flash,en,base,base,reverse,1700
gemini-2.0-flash,en,base,base,shortest-first,1700
gemini-2.0-flash,en,base,json-full,default,1700
gemini-2.0-flash,en,base,json-full,longest-first,1700
gemini-2.0-flash,en,base,json-full,reverse,1700
gemini-2.0-flash,en,base,json-full,shortest-first,1700
gemini-2.0-flash,en,json,json-full,default,1700
gemini-2.0-flash,en,json,json-full,longest-first,1700
gemini-2.0-flash,en,json,json-full,reverse,1700
gemini-2.0-flash,en,json,json-full,shortest-first,1700
gemini-2.0-flash,en,xml,base,default,1700
gemini-2.0-flash,en,xml,base,longest-first,1700
gemini-2.0-flash,en,xml,base,reverse,1700
gemini-2.0-flash,en,xml,base,shortest-first,1700
gemini-2.0-flash,ja-jp,base,base,default,1700
gemini-2.0-flash,ja-jp,base,base,fewest-kana-ratio,1700
gemini-2.0-flash,ja-jp,base,base,longest-first,1700
gemini-2.0-flash,ja-jp,base,base,most-kana-ratio,1700
gemini-2.0-flash,ja-jp,base,base,reverse,1700
gemini-2.0-flash,ja-jp,base,base,shortest-first,1700
gemini-2.0-flash,ja-jp,base,json-full,default,1700
gemini-2.0-flash,ja-jp,base,json-full,fewest-kana-ratio,1700
gemini-2.0-flash,ja-jp,base,json-full,longest-first,1700
gemini-2.0-flash,ja-jp,base,json-full,most-kana-ratio,1700
gemini-2.0-flash,ja-jp,base,json-full,reverse,1700
gemini-2.0-flash,ja-jp,base,json-full,shortest-first,1700
gemini-2.0-flash,ja-jp,json,json-full,default,1700
gemini-2.0-flash,ja-jp,json,json-full,fewest-kana-ratio,1700
gemini-2.0-flash,ja-jp,json,json-full,longest-first,1700
gemini-2.0-flash,ja-jp,json,json-full,most-kana-ratio,1700
gemini-2.0-flash,ja-jp,json,json-full,reverse,1700
gemini-2.0-flash,ja-jp,json,json-full,shortest-first,1700
gemini-2.0-flash,ja-jp,xml,base,default,1700
gemini-2.0-flash,ja-jp,xml,base,fewest-kana-ratio,1700
gemini-2.0-flash,ja-jp,xml,base,longest-first,1700
gemini-2.0-flash,ja-jp,xml,base,most-kana-ratio,1700
gemini-2.0-flash,ja-jp,xml,base,reverse,1700
gemini-2.0-flash,ja-jp,xml,base,shortest-first,1700
llama-v3p1-8b-instruct,en,base,base,default,1700
llama-v3p1-8b-instruct,en,base,base,reverse,1700
llama-v3p1-8b-instruct,en,base,base,shortest-first,1700
llama-v3p1-8b-instruct,en,base,json-full,default,1700
llama-v3p1-8b-instruct,en,base,json-full,reverse,1700
llama-v3p1-8b-instruct,en,base,json-full,shortest-first,1700
llama-v3p1-8b-instruct,en,base,xml-full,default,1700
llama-v3p1-8b-instruct,en,base,xml-full,reverse,1700
llama-v3p1-8b-instruct,en,base,xml-full,shortest-first,1700
llama-v3p1-8b-instruct,en,json,base,default,1700
llama-v3p1-8b-instruct,en,json,base,reverse,1700
llama-v3p1-8b-instruct,en,json,base,shortest-first,1700
llama-v3p1-8b-instruct,en,json,json-full,default,1700
llama-v3p1-8b-instruct,en,json,json-full,reverse,1700
llama-v3p1-8b-instruct,en,json,json-full,shortest-first,1700
llama-v3p1-8b-instruct,en,json,xml-full,default,1700
llama-v3p1-8b-instruct,en,json,xml-full,reverse,1700
llama-v3p1-8b-instruct,en,json,xml-full,shortest-first,1700
llama-v3p1-8b-instruct,en,xml,base,default,1700
llama-v3p1-8b-instruct,en,xml,base,reverse,1700
llama-v3p1-8b-instruct,en,xml,base,shortest-first,1700
llama-v3p1-8b-instruct,en,xml,json-full,default,1700
llama-v3p1-8b-instruct,en,xml,json-full,reverse,1700
llama-v3p1-8b-instruct,en,xml,json-full,shortest-first,1700
llama-v3p1-8b-instruct,en,xml,xml-full,default,1700
llama-v3p1-8b-instruct,en,xml,xml-full,reverse,1700
llama-v3p1-8b-instruct,en,xml,xml-full,shortest-first,1700
mistral-small-2503,en,base,base,default,1700
mistral-small-2503,en,base,base,longest-first,1700
mistral-small-2503,en,base,base,reverse,1700
mistral-small-2503,en,base,base,shortest-first,1700
mistral-small-2503,en,base,json-full,default,1700
mistral-small-2503,en,base,json-full,longest-first,1700
mistral-small-2503,en,base,json-full,reverse,1700
mistral-small-2503,en,base,json-full,shortest-first,1700
mistral-small-2503,en,json,json-full,default,1700
mistral-small-2503,en,json,json-full,longest-first,1700
mistral-small-2503,en,json,json-full,reverse,1700
mistral-small-2503,en,json,json-full,shortest-first,1700
mistral-small-2503,en,xml,base,default,1700
mistral-small-2503,en,xml,base,longest-first,1700
mistral-small-2503,en,xml,base,reverse,1700
mistral-small-2503,en,xml,base,shortest-first,1700
mistral-small-2503,ja-jp,base,base,default,1700
mistral-small-2503,ja-jp,base,base,fewest-kana-ratio,1700
mistral-small-2503,ja-jp,base,base,longest-first,1700
mistral-small-2503,ja-jp,base,base,most-kana-ratio,1700
mistral-small-2503,ja-jp,base,base,reverse,1700
mistral-small-2503,ja-jp,base,base,shortest-first,1700
mistral-small-2503,ja-jp,base,json-full,default,1700
mistral-small-2503,ja-jp,base,json-full,fewest-kana-ratio,1700
mistral-small-2503,ja-jp,base,json-full,longest-first,1700
mistral-small-2503,ja-jp,base,json-full,most-kana-ratio,1700
mistral-small-2503,ja-jp,base,json-full,reverse,1700
mistral-small-2503,ja-jp,base,json-full,shortest-first,1700
mistral-small-2503,ja-jp,json,json-full,default,1700
mistral-small-2503,ja-jp,json,json-full,fewest-kana-ratio,1700
mistral-small-2503,ja-jp,json,json-full,longest-first,1700
mistral-small-2503,ja-jp,json,json-full,most-kana-ratio,1700
mistral-small-2503,ja-jp,json,json-full,reverse,1700
mistral-small-2503,ja-jp,json,json-full,shortest-first,1700
mistral-small-2503,ja-jp,xml,base,default,1700
mistral-small-2503,ja-jp,xml,base,fewest-kana-ratio,1700
mistral-small-2503,ja-jp,xml,base,longest-first,1700
mistral-small-2503,ja-jp,xml,base,most-kana-ratio,1700
mistral-small-2503,ja-jp,xml,base,reverse,1700
mistral-small-2503,ja-jp,xml,base,shortest-first,1700
